time_s,RF1_N,RF2_N,RF3_N,RM3_Nmm,F_normal_N,F_tangential_N,F_tangential_from_torque_N,F_magnitude_N
9.0029225e-08,6.34456519e-05,-1.10956134e-05,1.07209516e-07,-0.00034145161,-6.2951196e-05,1.36238875e-05,1.36580644e-05,6.44086553e-05
9.09414837e-08,6.75558331e-05,-1.14633449e-05,1.66609311e-07,-0.000354799064,-6.70433841e-05,1.41556882e-05,1.41919625e-05,6.85217237e-05
9.18077419e-08,7.02203542e-05,-1.12851521e-05,2.56231203e-07,-0.000353043637,-6.97128997e-05,1.40841904e-05,1.41217455e-05,7.11218564e-05
9.2719219e-08,6.69429646e-05,-1.0024839e-05,3.3009664e-07,-0.000318236562,-6.64885308e-05,1.26938247e-05,1.27294625e-05,6.76902273e-05
9.36307529e-08,6.16420148e-05,-8.69034375e-06,3.54289853e-07,-0.000279527419,-6.12451867e-05,1.11484155e-05,1.11810968e-05,6.2252595e-05
9.45421164e-08,5.73775651e-05,-7.72035764e-06,3.44573294e-07,-0.000250974641,-5.70229372e-05,1.00086728e-05,1.00389856e-05,5.78956616e-05
9.54076285e-08,5.29772151e-05,-6.89191029e-06,3.17359905e-07,-0.000225820622,-5.26592361e-05,9.00492105e-06,9.03282489e-06,5.3424568e-05
9.63185585e-08,4.82900359e-05,-6.11188125e-06,2.79816049e-07,-0.000201586008,-4.8006999e-05,8.03807878e-06,8.06344033e-06,4.8676082e-05
9.72291616e-08,5.33584134e-05,-8.46223611e-06,3.13708028e-07,-0.000265435316,-5.29773332e-05,1.05892346e-05,1.06174126e-05,5.40261801e-05
9.81393029e-08,5.93666991e-05,-9.32279454e-06,3.4202381e-07,-0.000293016172,-5.89463998e-05,1.16893721e-05,1.17206469e-05,6.00952281e-05
9.90039766e-08,6.43290332e-05,-1.00544366e-05,3.6112084e-07,-0.000316317135,-6.38755066e-05,1.26188694e-05,1.26526854e-05,6.5111033e-05
9.99142031e-08,6.90436427e-05,-1.22593838e-05,1.21574715e-07,-0.00037617475,-6.84981706e-05,1.50105869e-05,1.504699e-05,7.01236898e-05
1.00824522e-07,7.51522675e-05,-1.2913074e-05,2.06562348e-07,-0.000398688077,-7.45757685e-05,1.5908034e-05,1.59475231e-05,7.62538751e-05
1.01735182e-07,7.79328038e-05,-1.26081768e-05,3.03315687e-07,-0.0003938835,-7.73662733e-05,1.57145725e-05,1.575534e-05,7.89466911e-05
1.0260073e-07,7.4849042e-05,-1.12272492e-05,3.9578137e-07,-0.000356259989,-7.43402005e-05,1.42114319e-05,1.42503995e-05,7.56874286e-05
